SUBJECT,SEX,AGE,HEIGHT,WEIGHT,AG_R,AG_L,CG_R,CG_L,HB_R,HB_L,FB_R,FB_L,CS_R(mm),CS_L(mm),TS_R(mm),TS_L(mm),SBS_R(mm),SBS_L(mm),SPS_R(mm),SPS_L(mm),SOMATOTYPE
0,M,19,170.5,72.5,31,33,39,39.2,5.9,6,10.2,9.9,11,9.6,20.6,18.4,17.2,17,13.6,14.8,Mesomorphic endomorph
1,M,19,175.5,79.4,34,33.8,39.4,39.4,6.2,6.2,9.5,9.5,11.4,12,14,12.8,17.8,17,10.4,11.2,Mesomorph-endomorph
2,M,23,182.2,86.4,39.8,39,38.9,38.7,7,6.9,10.1,10.2,5.8,6.8,7,6.8,12.4,11.2,7,7.4,Endomorphic mesomorph
3,F,19,170.3,61,26.5,26.8,35.5,35.5,5.1,5,8.4,8.6,13.8,16.2,21.2,20.4,13,14.2,11.8,12.4,Ectomorphic endomorph
4,M,22,185.4,98.7,38.1,37.1,41.4,41.6,6.5,6.8,10.1,10,12.4,12.8,22.2,20.4,32,31,30.8,32.2,Mesomorphic endomorph
5,M,23,179.4,110.5,41.8,42.2,45.9,45.4,6.8,6.8,9.9,10.3,17,16.6,23,21.2,28,28,24.2,26.4,Mesomorph-endomorph
6,M,18,179.4,67.2,28.3,28.5,36.2,36,7.1,7.1,9.8,9.9,8,8.8,11.8,9.8,11.8,12.4,7.8,7.2,Central
7,F,21,162.8,49.5,24.2,24.5,33,33.1,5.2,5.4,8.3,8.2,7.4,8,13.2,12.4,14.4,16.8,8.2,6.9,Endomorph-ectomorph
8,M,19,187.8,70.9,30.2,27,36.6,35.7,7.1,7,9.5,9.9,9.4,11.4,14,12.6,10.2,11.2,10,9.8,Endomorphic ectomorph
9,M,20,177.5,76.6,32.5,32.5,39,40,7,7,10,9.8,6.2,7,12.4,10.8,11.8,12.8,10.2,9.4,Endomorphic mesomorph
10,M,22,176,73.4,32.2,32.2,39.3,39,6.6,6.5,9.7,9.6,5.8,6,10.4,7.6,12.8,12.2,7.8,7.2,Endomorphic mesomorph
11,M,20,179.9,83.3,35.5,36.6,39.1,38.6,7.6,6.9,10.3,10,6.2,8,14.4,13.8,13.6,15.2,14.4,13.4,Endomorphic mesomorph
12,F,20,161,56.6,26.8,26.3,34.7,35.3,5.5,5.6,8.9,8.9,14.6,14.6,20.5,18.4,12.8,12.6,12.4,11.6,Mesomorphic endomorph
13,F,22,171.8,75.5,30.2,30.4,36.3,37.5,5.8,5.7,9.3,9.3,17.4,17.6,22.9,20.8,23.2,23.4,17.8,17.6,Mesomorphic endomorph
14,F,22,164.7,52,23.3,23.2,31.6,32,4.8,4.8,7.9,8,12,13.4,19.8,18.6,26.8,24.2,20.3,20,Ectomorphic endomorph
15,F,21,177.8,65.3,27.2,27.1,37.5,38.3,5.4,5.3,8.7,8.7,12.2,12,19.8,18.8,21.8,23.8,15.8,16.2,Ectomorphic endomorph
16,F,18,158.6,55.9,26.4,25.9,35.8,35.5,5.1,5.2,8.5,8.2,11.8,12.4,12.2,11.8,13.8,14.6,10.2,9.6,Mesomorphic endomorph
17,M,23,185.5,73.5,30,30.2,34.6,35.5,6.7,6.5,9.4,9.6,8.4,8.2,13.2,13.5,12.8,13.6,10.6,10.4,Endomorph-ectomorph
18,M,23,166.1,59.8,30.5,30.4,34.6,34,6,6,8.8,9,4.5,4.2,6.6,6,10,10.6,5,5.2,Balanced mesomorph
19,M,21,161,65.6,32.1,31.7,37.5,37.2,6,6.2,9,8.8,13.4,12.6,13.6,14.2,10.4,11.4,11.4,10.8,Mesomorph-endomorph
20,M,21,175.9,77.7,34,33.3,37.5,37.7,6.6,6.8,9.7,9.8,4.8,6.8,8.4,9.8,13.8,14.2,12.2,11.6,Endomorphic mesomorph
21,M,20,177.3,91.7,36.7,36.3,40.5,39.7,7.2,6.9,10.3,10.3,11,10,15.2,14.4,20.8,21,20.4,21.8,Mesomorph-endomorph
22,F,27,175.7,65.5,28.5,27.3,36.3,36,6.2,6.1,8.9,9,12.6,14.8,17.2,16.5,14.2,15.5,12.2,12,Ectomorphic endomorph
23,F,22,163.4,57.6,23.8,23.9,35.1,35.6,5.5,5.5,8.6,8.7,8.2,7.6,12.6,11.4,13.8,12.8,11.4,10.8,Balanced endomorph
24,M,22,184.5,74.8,32.7,33.6,37,36.5,6.6,6.7,9.8,9.8,6.2,6.2,8,7.2,9,9.4,6.6,6.8,Mesomorph-ectomorph
25,F,20,169.5,57.8,25,25,33.5,33.7,5.4,5.3,8.4,8.5,15.8,14.2,18.8,19.5,21.4,22.2,20.4,18.5,Ectomorphic endomorph
26,F,20,163.3,66.7,29.2,29.3,37.5,37.5,5.4,5.4,8.5,8.4,14.8,15.3,20,20.2,21,22.8,18.8,18.6,Mesomorphic endomorph
27,F,21,163.5,52.3,24.8,23.5,35,34.1,5.1,5,8.5,8.4,6,7.4,10,9,8.8,9.4,9,8,Endomorph-ectomorph
28,M,19,179,77.1,33.1,33.2,39.3,40,7.1,7.1,10.5,10.4,12,13.8,14.6,13,11.2,12.2,11.8,11.6,Endomorphic mesomorph
29,F,24,160.4,51,25,25.1,34,34,5.7,5.5,8.5,8.4,9.6,10.6,9,9.2,10.5,11.6,10.8,9.8,Central
30,M,23,179,79,32.7,32.7,38,37.8,6.3,6.5,10.2,10,17.6,14.4,14.6,14,13.4,14.6,17,19.2,Mesomorphic endomorph
31,M,34,171,75,33,34.3,38,38.2,6.4,6.4,10,9.7,3.6,5.6,4.2,5,9.6,10.6,9,9,Endomorphic mesomorph
32,M,21,186.2,90.4,35.8,35.4,40.6,39.2,7,7,10.5,10.6,10.4,10.2,12.2,10.4,18.2,17.2,13.8,13,Mesomorph-endomorph
